instance,target,aggregate,per_hospital,extra,relative
84,0.9,32.2,45.4,13.199999999999996,0.4099378881987576
87,0.9,53.4,53.4,0.0,0.0
89,0.9,56.800000000000004,56.800000000000004,0.0,0.0
90,0.9,76.2,76.2,0.0,0.0
92,0.9,62.599999999999994,62.599999999999994,0.0,0.0
93,0.9,73.0,81.6,8.599999999999994,0.11780821917808211
94,0.9,96.35,96.35,0.0,0.0
97,0.9,146.7,146.7,0.0,0.0
98,0.9,127.6,127.6,0.0,0.0
105,0.9,132.5,132.5,0.0,0.0
106,0.9,117.7,117.7,0.0,0.0
108,0.9,59.050000000000004,59.050000000000004,0.0,0.0
110,0.9,31.099999999999998,31.1,3.552713678800501e-15,1.1423516652091645e-16
116,0.9,53.8,53.8,0.0,0.0
118,0.9,73.5,83.9,10.400000000000006,0.14149659863945585
0,1.0,123.0,123.0,0.0,0.0
1,1.0,67.0,67.0,0.0,0.0
3,1.0,122.0,122.0,0.0,0.0
4,1.0,98.0,98.0,0.0,0.0
5,1.0,27.0,27.0,0.0,0.0
10,1.0,29.0,29.0,0.0,0.0
11,1.0,130.0,130.0,0.0,0.0
13,1.0,62.0,62.0,0.0,0.0
16,1.0,68.0,68.0,0.0,0.0
17,1.0,76.0,76.0,0.0,0.0
19,1.0,22.0,22.0,0.0,0.0
23,1.0,119.5,119.5,0.0,0.0
27,1.0,122.5,122.5,0.0,0.0
28,1.0,153.0,153.0,0.0,0.0
29,1.0,157.0,157.0,0.0,0.0
30,1.0,94.0,94.0,0.0,0.0
31,1.0,79.0,79.0,0.0,0.0
32,1.0,82.0,82.0,0.0,0.0
33,1.0,78.5,78.5,0.0,0.0
34,1.0,84.0,84.0,0.0,0.0
36,1.0,103.0,103.0,0.0,0.0
37,1.0,60.0,60.0,0.0,0.0
38,1.0,122.0,122.0,0.0,0.0
39,1.0,29.0,29.0,0.0,0.0
44,1.0,94.5,94.5,0.0,0.0
45,1.0,188.0,188.0,0.0,0.0
46,1.0,122.0,122.0,0.0,0.0
47,1.0,37.0,37.0,0.0,0.0
50,1.0,161.5,161.5,0.0,0.0
52,1.0,63.0,63.0,0.0,0.0
54,1.0,77.5,77.5,0.0,0.0
57,1.0,137.0,137.0,0.0,0.0
58,1.0,145.0,145.0,0.0,0.0
60,1.0,104.5,104.5,0.0,0.0
61,1.0,93.0,93.0,0.0,0.0
63,1.0,174.3333326,174.3333326,0.0,0.0
67,1.0,90.0,90.0,0.0,0.0
68,1.0,102.0,102.0,0.0,0.0
71,1.0,76.0,76.0,0.0,0.0
74,1.0,69.0,69.0,0.0,0.0
75,1.0,30.0,30.0,0.0,0.0
79,1.0,94.0,94.0,0.0,0.0
80,1.0,56.0,56.0,0.0,0.0
81,1.0,94.5,94.5,0.0,0.0
82,1.0,171.0,171.0,0.0,0.0
83,1.0,50.0,50.0,0.0,0.0
84,1.0,85.0,85.0,0.0,0.0
87,1.0,99.3333329,99.3333329,0.0,0.0
89,1.0,79.0,79.0,0.0,0.0
90,1.0,114.0,114.0,0.0,0.0
92,1.0,106.5,106.5,0.0,0.0
93,1.0,118.0,118.0,0.0,0.0
94,1.0,141.5,141.5,0.0,0.0
97,1.0,194.5,194.5,0.0,0.0
98,1.0,172.0,172.0,0.0,0.0
105,1.0,194.5,194.5,0.0,0.0
106,1.0,159.5,159.5,0.0,0.0
108,1.0,93.0,93.0,0.0,0.0
110,1.0,44.0,44.0,0.0,0.0
116,1.0,85.0,85.0,0.0,0.0
118,1.0,115.0,115.0,0.0,0.0
