instance,failed,satisfaction,reported,low,high,width
0,S1,0.7363636363636363,0.4629629629629629,0.4629629629629629,0.6282051416666667,0.16524217870370383
0,S2,0.7,0.40740740740740744,0.40740738888888894,0.42592592592592593,0.018518537037036986
0,S3,0.8363636363636364,0.6666666666666667,0.5833333333333333,0.8363636370370371,0.25303030370370383
0,F1,0.7454545454545455,0.4814814814814815,0.37499996874999997,0.6744186111111111,0.29941864236111115
0,F2,0.6363636363636364,0.2592592592592593,0.2592592592592593,0.444444462962963,0.18518520370370373
0,F3,0.6909090909090909,0.40740740740740744,0.40740738888888894,0.40740740740740744,1.8518518496435377e-08
0,W1,0.8,0.7407407407407407,0.3125,0.744186053125,0.43168605312499997
0,W2,0.8909090909090909,0.7777777777777778,0.7777777777777778,0.7777777962962963,1.8518518496435377e-08
0,W3,0.8727272727272728,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.0
0,W4,0.7090909090909091,0.0,0.0,0.0,0.0
1,S1,0.6851851851851851,0.33333333333333337,0.33333333333333337,0.33333337499999993,4.1666666561468446e-08
1,S2,0.5925925925925926,0.33333333333333337,0.08333333333333337,0.33333337499999993,0.25000004166666656
1,S3,0.7592592592592593,0.45833333333333337,0.45833333333333337,0.45833337499999993,4.1666666561468446e-08
1,F1,0.8518518518518519,0.6666666666666667,0.6666666666666667,0.6666667083333333,4.1666666561468446e-08
1,F2,0.7222222222222222,0.375,0.375,0.3750000416666667,4.166666667249075e-08
1,F3,0.5925925925925926,0.33333333333333337,0.33333333333333337,0.33333337499999993,4.1666666561468446e-08
1,F4,0.9444444444444444,0.875,0.875,0.8750000208333333,2.0833333280734223e-08
1,W1,0.7407407407407407,0.7083333333333333,0.41666666666666663,0.7083333541666667,0.2916666875
1,W2,0.6481481481481481,0.33333333333333337,0.33333333333333337,0.6481481333333334,0.31481480000000006
1,W3,0.9074074074074074,0.7916666666666666,0.7916666666666666,0.7916666875,2.0833333391756526e-08
1,W4,0.9259259259259259,0.8333333333333334,0.8333333333333334,0.8333333541666667,2.0833333280734223e-08
3,S1,0.9142857142857143,0.8269230769230769,0.8269230769230769,0.8269230961538461,1.923076919929656e-08
3,S2,0.780952380952381,0.5576923076923077,0.5576923076923077,0.5576923269230769,1.923076919929656e-08
3,S3,0.6285714285714286,0.25,0.25,0.2500000192307692,1.923076919929656e-08
3,F1,0.8952380952380953,0.7884615384615384,0.7884615384615384,0.7884615576923077,1.9230769310318863e-08
3,F2,0.8571428571428572,0.7115384615384616,0.7115384615384616,0.7115384807692308,1.923076919929656e-08
3,F3,0.6666666666666667,0.32692307692307687,0.32692307692307687,0.32692309615384607,1.923076919929656e-08
3,W1,0.5428571428571429,0.07692307692307687,0.07692307692307687,0.07692309615384607,1.923076919929656e-08
3,W2,0.6952380952380952,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.0
3,W3,0.8952380952380953,0.7884615384615384,0.7884615384615384,0.7884615384615384,0.0
4,S1,0.7575757575757576,0.7173913043478262,0.5869565,0.7173913260869564,0.13043482608695645
4,S2,0.6363636363636364,0.4565217391304348,0.4565217173913043,0.4565217608695652,4.347826088046958e-08
4,S3,0.7272727272727273,0.6521739130434783,0.5217391086956522,0.6521739347826087,0.13043482608695645
4,F1,0.8282828282828283,0.7391304347826086,0.679245283018868,0.8282828282608696,0.14903754524200163
4,F2,0.8282828282828283,0.7391304347826086,0.7391304130434783,0.7391304565217391,4.347826088046958e-08
4,F3,0.8484848484848485,0.7924528301886793,0.7826086739130436,0.8484848478260869,0.06587617391304335
4,W1,0.9494949494949495,0.9056603773584906,0.9056603773584906,0.9056603962264151,1.8867924556076332e-08
4,W2,0.8888888888888888,0.8695652173913043,0.8695651956521739,0.8695652391304348,4.347826088046958e-08
4,W3,0.696969696969697,0.4565217391304348,0.4565217173913043,0.4565217608695652,4.347826088046958e-08
4,W4,0.7676767676767677,0.5660377358490566,0.5660377358490566,0.5660377547169811,1.8867924556076332e-08
5,S1,0.96,0.9259259259259259,0.9259259259259259,0.9259259444444444,1.8518518496435377e-08
5,S2,0.98,0.962962962962963,0.962962962962963,0.9629629814814815,1.8518518496435377e-08
5,S3,0.98,0.962962962962963,0.962962962962963,0.9629629814814815,1.8518518496435377e-08
5,F1,0.96,0.9259259259259259,0.9259259259259259,0.9259259444444444,1.8518518496435377e-08
5,F2,0.74,0.5185185185185186,0.5185185185185186,0.5185185555555556,3.703703699287075e-08
5,F3,0.98,0.962962962962963,0.962962962962963,0.9629629814814815,1.8518518496435377e-08
