instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
0,F1,0.4814814814814815,20,0.375,0.4814814814814815,0,2,0.375,0.5185185185185186,0,3
0,F2,0.2592592592592593,20,0.2592592592592593,0.4444444444444444,0,2,0.2592592592592593,0.4444444444444444,0,2
0,F3,0.40740740740740744,20,0.40740740740740744,0.40740740740740744,0,1,0.37037037037037035,0.40740740740740744,0,2
0,S1,0.4629629629629629,20,0.4629629629629629,0.5833333333333333,0,2,0.125,0.5833333333333333,0,3
0,S2,0.40740740740740744,20,0.40740740740740744,0.42592592592592593,0,2,0.38888888888888884,0.42592592592592593,0,3
0,S3,0.6666666666666667,20,0.5833333333333333,0.6875,0,3,0.5833333333333333,0.7037037037037037,0,4
0,W1,0.7407407407407407,20,0.3125,0.7407407407407407,0,5,0.3125,0.7407407407407407,0,5
0,W2,0.7777777777777778,20,0.7777777777777778,0.7777777777777778,0,1,0.7777777777777778,0.7777777777777778,0,1
0,W3,0.7407407407407407,20,0.7407407407407407,0.7407407407407407,0,1,0.7407407407407407,0.7407407407407407,0,1
0,W4,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
1,F1,0.6666666666666667,20,0.6666666666666667,0.6666666666666667,0,1,0.6666666666666667,0.7083333333333333,0,2
1,F2,0.375,20,0.375,0.375,0,1,0.375,0.375,0,1
1,F3,0.33333333333333337,20,0.33333333333333337,0.33333333333333337,0,1,0.33333333333333337,0.5,0,2
1,F4,0.875,20,0.875,0.875,0,1,0.875,0.875,0,1
1,S1,0.33333333333333337,20,0.33333333333333337,0.33333333333333337,0,1,0.33333333333333337,0.33333333333333337,0,1
1,S2,0.33333333333333337,20,0.08333333333333337,0.33333333333333337,0,3,0.08333333333333337,0.33333333333333337,0,3
1,S3,0.45833333333333337,20,0.45833333333333337,0.45833333333333337,0,1,0.45833333333333337,0.45833333333333337,0,1
