index,nodes,t80_uniform,t80_optimized,t80_saving,t90_uniform,t90_optimized,t90_saving,t100_uniform,t100_optimized,t100_saving
0,10,92.5546875,39.0,0.5786275006330717,150.05078125,79.0,0.47351157160336343,206.14453125,123.0,0.40333124893411404
1,11,59.4140625,30.6,0.4849704142011834,87.80078125,48.1,0.4521688837478311,116.1875,67.0,0.42334588488434644
3,9,172.0390625,59.0,0.657054629671677,238.31640625,90.5,0.6202527495943222,304.59375,122.0,0.5994665025135939
4,10,87.140625,26.4,0.6970414201183432,141.2734375,58.400000000000006,0.5866172648343748,194.0859375,98.0,0.49506903353057197
5,9,16.65234375,4.0,0.7597935726014544,44.40625,14.0,0.6847290640394089,71.3671875,27.0,0.6216748768472906
10,9,38.7578125,8.8,0.7729490022172949,59.08203125,17.1,0.7105719008264463,78.93359375,29.0,0.6326025634681051
11,10,735.57421875,52.2,0.9290350332170338,975.76171875,86.1,0.9117612442202606,1217.6171875,130.0,0.8932340957941677
13,9,45.828125,8.4,0.8167064439140812,104.75,29.2,0.7212410501193317,162.03515625,62.0,0.6173669872953883
16,10,75.48046875,30.599999999999998,0.5945971122496507,106.20703125,47.1,0.5565265364669535,136.93359375,68.0,0.5034089288261304
17,11,64.96875,19.8,0.6952380952380953,101.96484375,44.4,0.5645557981841168,138.9609375,76.0,0.4530837128239726
19,12,12.65625,5.800000000000001,0.5417283950617283,25.3125,13.9,0.4508641975308642,37.96875,22.0,0.4205761316872428
23,9,147.75390625,36.6,0.7522908129543953,219.140625,70.15,0.679885918003565,290.52734375,119.5,0.5886789915966386
27,11,84.9765625,38.8,0.5434035119977936,185.0859375,80.64999999999999,0.5642564687011946,287.5234375,122.5,0.573947775996522
28,9,310.859375,69.60000000000001,0.7761045488816285,407.890625,109.8,0.7308101896188469,503.125,153.0,0.6959006211180124
29,10,382.12890625,77.4,0.7974505494505495,554.53125,116.7,0.7895519864750634,885.1171875,157.0,0.8226223575621165
30,10,82.27734375,26.2,0.6815648293215592,138.05859375,57.1,0.5864074922898452,192.4453125,94.0,0.511549547355174
31,10,100.59375,36.6,0.6361602982292638,141.3515625,57.300000000000004,0.5946277565909467,181.2421875,79.0,0.5641191430665115
32,12,117.875,24.6,0.791304347826087,378.0625,50.199999999999996,0.8672177219375103,638.25,82.0,0.8715236976106542
33,11,113.8828125,30.0,0.7365713109693353,169.5,49.0,0.7109144542772862,226.44140625,78.5,0.6533319532853766
34,11,94.81640625,33.0,0.6519589667531825,139.67578125,57.0,0.5919120731605001,183.515625,84.0,0.5422733077905492
36,9,158.69140625,44.199999999999996,0.7214720000000001,219.62890625,72.1,0.671718986216096,280.56640625,103.0,0.6328854855551688
37,11,34.125,9.200000000000001,0.7304029304029304,88.51171875,31.099999999999998,0.648634096826868,155.6953125,60.0,0.6146319433990667
38,12,85.4296875,45.8,0.4638866026520348,147.12890625,83.9,0.42975175892738615,208.828125,122.0,0.4157875046763936
39,10,20.56640625,7.4,0.6401899335232668,40.078125,18.200000000000003,0.54588693957115,59.58984375,29.0,0.5133398885611274
