scenario,reported,worst_at_optimal_cost,best_at_optimal_cost,determined
S1,0.16666666666666663,0.16666666666666663,0.5,False
S2,0.4,0.39999998000000003,0.40000002,True
S3,0.0,0.0,0.571428575,False
F1,0.5833333333333333,0.33333333333333337,0.58333335,False
F2,0.6,0.59999998,0.60000002,True
F3,0.75,0.6666666666666667,0.85714287,False
W1,0.25,0.25,0.2500000166666666,True
W2,0.5,0.49999998,0.5000000200000001,True
W3,0.625,0.33333333333333337,0.714285725,False
