index,nodes,hospitals,arcs,slack,demand,capacity,worst_at_zero,worst_at_top,concave,front_loaded,worst_second_difference,gain_first_half,gain_second_half,binding_levels,distinct_binding,migrates,first_binding,last_binding,target,uniform_spend,optimized_spend,achieved,iterations,dominates,saving,has_floor,floor_value,floor_pair,cut_pairs,floor_tier
0,10,3,27,0.0285,110,359,0.6363636363636364,0.9545454545454546,True,True,1.1102230246251565e-16,0.19090909090909092,0.12727272727272732,6,1,False,F2,F2,0.9545454545454546,179.5,103.0,0.9545454545454546,9,True,0.42618384401114207,True,0.7818181818181819,F2+F3,2,FF
1,11,2,32,0.0265,54,169,0.5925925925925926,0.8888888888888888,True,True,0.0,0.1777777777777778,0.11851851851851847,6,1,False,S2,S2,0.8888888888888888,84.5,46.0,0.8888888888888888,7,True,0.4556213017751479,False,,,0,
3,9,2,22,0.0629,105,361,0.5428571428571429,0.8142857142857143,True,True,0.0,0.1628571428571428,0.10857142857142854,6,1,False,W1,W1,0.8142857142857143,180.5,63.5,0.8142857142857143,4,True,0.6481994459833795,False,,,0,
4,10,2,27,0.0608,99,338,0.6363636363636364,0.9545454545454546,True,True,1.1102230246251565e-16,0.19090909090909092,0.12727272727272732,6,1,False,S2,S2,0.9545454545454546,169.0,80.0,0.9545454545454546,9,True,0.5266272189349113,False,,,0,
5,9,2,22,0.2805,50,203,0.74,1.0,True,True,1.1102230246251565e-16,0.22199999999999998,0.038000000000000034,4,1,False,F2,F2,1.0,101.5,27.0,1.0,7,True,0.7339901477832512,False,,,0,
10,9,2,23,0.1346,33,121,0.6060606060606061,0.9090909090909091,True,True,1.1102230246251565e-16,0.18181818181818177,0.12121212121212122,6,1,False,W3,W3,0.9090909090909091,60.5,18.0,0.9090909090909091,5,True,0.7024793388429752,False,,,0,
11,10,4,27,0.1353,113,427,0.49557522123893805,0.584070796460177,True,True,1.1102230246251565e-16,0.053097345132743334,0.03539823008849563,6,1,False,W3,W3,0.584070796460177,213.5,10.0,0.584070796460177,2,True,0.9531615925058547,True,0.31858407079646023,W2+W3,2,WW
13,9,4,23,0.2978,104,419,0.7211538461538461,1.0,True,True,0.0,0.21634615384615385,0.0625,4,1,False,W1,W1,1.0,209.5,62.0,1.0,9,True,0.7040572792362768,True,0.6442307692307692,W1+W2,3,WW
16,10,2,25,0.02,54,171,0.5555555555555556,0.8333333333333334,True,True,1.1102230246251565e-16,0.16666666666666663,0.11111111111111116,6,1,False,S3,S3,0.8333333333333334,85.5,36.0,0.8333333333333334,4,True,0.5789473684210527,False,,,0,
17,11,4,30,0.0345,72,231,0.625,0.9375,True,True,0.0,0.1875,0.125,6,1,False,F3,F3,0.9375,115.5,55.75,0.9375,9,True,0.5173160173160173,True,0.6111111111111112,W1+W3,3,WW
19,12,2,35,0.0675,27,90,0.7037037037037037,1.0,True,True,1.1102230246251565e-16,0.21111111111111114,0.08518518518518514,5,1,False,F1,F1,1.0,45.0,22.0,1.0,8,True,0.5111111111111111,False,,,0,
23,9,4,25,0.0242,121,425,0.5950413223140496,0.8925619834710744,True,True,1.1102230246251565e-16,0.17851239669421481,0.11900826446280999,6,1,False,S3,S3,0.8925619834710744,212.5,67.0,0.8925619834710744,6,True,0.6847058823529412,True,0.6942148760330579,W2+W3,2,WW
27,11,3,29,0.031,93,298,0.6236559139784946,0.8655913978494624,True,True,1.1102230246251565e-16,0.18387096774193556,0.058064516129032184,6,2,True,F2,W4,0.8655913978494624,149.0,66.25,0.8655913978494624,8,True,0.5553691275167785,True,0.4301075268817204,W3+W4,1,WW
28,9,4,26,0.0206,134,460,0.4776119402985075,0.7164179104477613,True,True,1.1102230246251565e-16,0.14328358208955216,0.09552238805970159,6,1,False,W2,W2,0.7164179104477613,230.0,38.0,0.7164179104477613,3,True,0.8347826086956521,True,0.6791044776119404,W2+W3,1,WW
29,10,4,30,0.0549,131,455,0.43511450381679384,0.6526717557251909,True,True,1.1102230246251565e-16,0.1305343511450383,0.08702290076335872,6,1,False,F1,F1,0.6526717557251909,227.5,32.0,0.6526717557251909,3,True,0.8593406593406593,True,0.5954198473282443,F2+F3,3,FF
30,10,3,30,0.0899,103,357,0.6504854368932038,0.9757281553398058,True,True,1.1102230246251565e-16,0.19514563106796123,0.13009708737864079,6,1,False,S2,S2,0.9757281553398058,178.5,84.0,0.9757281553398058,9,True,0.5294117647058824,False,,,0,
31,10,3,24,0.0433,69,222,0.5507246376811594,0.8260869565217391,True,True,1.1102230246251565e-16,0.16521739130434776,0.11014492753623195,6,1,False,S1,S1,0.8260869565217391,111.0,42.0,0.8260869565217391,6,True,0.6216216216216216,False,,,0,
32,12,3,34,0.0861,106,368,0.6320754716981132,0.8254716981132075,True,True,0.0,0.16509433962264153,0.028301886792452824,6,2,True,W2,W3,0.8254716981132075,184.0,30.0,0.8254716981132075,4,True,0.8369565217391305,True,0.6132075471698113,W3+W4,1,WW
33,11,4,32,0.0899,95,339,0.6,0.9,True,True,1.1102230246251565e-16,0.18000000000000005,0.12,6,1,False,S2,S2,0.9,169.5,49.0,0.9,4,True,0.7109144542772862,True,0.631578947368421,W1+W3,2,WW
34,11,3,32,0.0403,80,261,0.5875,0.88125,True,True,1.1102230246251565e-16,0.17625000000000002,0.11749999999999994,6,1,False,F3,F3,0.88125,130.5,52.5,0.88125,6,True,0.5977011494252874,False,,,0,
36,9,3,24,0.0416,93,325,0.5376344086021505,0.8064516129032258,True,True,1.1102230246251565e-16,0.16129032258064524,0.10752688172043001,6,1,False,W2,W2,0.8064516129032258,162.5,46.0,0.8064516129032258,4,True,0.7169230769230769,False,,,0,
